Ligase,Scaffold_ID,Recruiter_Count,Scaffold_Hash,Original_Scaffold_ID_Group
CHIP,LR-SCAF00032,1,12507afe,CHIP_SCAF_2
CHIP,LR-SCAF00083,1,3ceaa0de,CHIP_SCAF_3
CHIP,LR-SCAF00193,1,85e4eaf2,CHIP_SCAF_5
CHIP,LR-SCAF00252,1,a72f74b5,CHIP_SCAF_4
CHIP,LR-SCAF00262,1,ae0a943b,CHIP_SCAF_1
CRBN,LR-SCAF00372,39,fff95c25,CRBN_SCAF_1
CRBN,LR-SCAF00150,7,6e3a2581,CRBN_SCAF_6
CRBN,LR-SCAF00183,6,826062c2,CRBN_SCAF_18
CRBN,LR-SCAF00022,5,0d0ae2c3,CRBN_SCAF_20
CRBN,LR-SCAF00318,4,d3e00a53,CRBN_SCAF_4
CRBN,LR-SCAF00082,2,39bc19a4,CRBN_SCAF_12
CRBN,LR-SCAF00093,2,41b88d7b,CRBN_SCAF_22
CRBN,LR-SCAF00172,2,7f22b770,CRBN_SCAF_15
CRBN,LR-SCAF00199,2,899c9c02,CRBN_SCAF_16
CRBN,LR-SCAF00234,2,9b07acb7,CRBN_SCAF_30
CRBN,LR-SCAF00290,2,c17485d6,CRBN_SCAF_7
CRBN,LR-SCAF00315,2,d068cd94,CRBN_SCAF_3
CRBN,LR-SCAF00340,2,e48c70e3,CRBN_SCAF_17
CRBN,LR-SCAF00020,1,0c9c5086,CRBN_SCAF_10
CRBN,LR-SCAF00027,1,0ee46d59,CRBN_SCAF_37
CRBN,LR-SCAF00034,1,13116fd1,CRBN_SCAF_8
CRBN,LR-SCAF00060,1,2dd93745,CRBN_SCAF_35
CRBN,LR-SCAF00070,1,34ce397c,CRBN_SCAF_11
CRBN,LR-SCAF00116,1,53403914,CRBN_SCAF_44
CRBN,LR-SCAF00117,1,53e91f1f,CRBN_SCAF_32
CRBN,LR-SCAF00132,1,5da7ed6d,CRBN_SCAF_9
CRBN,LR-SCAF00137,1,60105a36,CRBN_SCAF_43
CRBN,LR-SCAF00142,1,6317954b,CRBN_SCAF_28
CRBN,LR-SCAF00151,1,6f5e9f96,CRBN_SCAF_27
CRBN,LR-SCAF00154,1,71cbbeb3,CRBN_SCAF_14
CRBN,LR-SCAF00163,1,779a246f,CRBN_SCAF_29
CRBN,LR-SCAF00177,1,8175cc01,CRBN_SCAF_33
CRBN,LR-SCAF00181,1,81df215f,CRBN_SCAF_42
CRBN,LR-SCAF00205,1,8ad7ce01,CRBN_SCAF_26
CRBN,LR-SCAF00211,1,8d6d2ee3,CRBN_SCAF_39
CRBN,LR-SCAF00236,1,9b8d5329,CRBN_SCAF_21
CRBN,LR-SCAF00237,1,9c337ed6,CRBN_SCAF_34
CRBN,LR-SCAF00241,1,9eaa5b88,CRBN_SCAF_23
CRBN,LR-SCAF00251,1,a69df939,CRBN_SCAF_25
CRBN,LR-SCAF00253,1,a83825cf,CRBN_SCAF_2
CRBN,LR-SCAF00271,1,b49d704d,CRBN_SCAF_38
CRBN,LR-SCAF00289,1,c0f4f282,CRBN_SCAF_41
CRBN,LR-SCAF00310,1,ce6c187c,CRBN_SCAF_5
CRBN,LR-SCAF00320,1,d5b01f0f,CRBN_SCAF_31
CRBN,LR-SCAF00336,1,e2b60216,CRBN_SCAF_19
CRBN,LR-SCAF00346,1,eae92d5d,CRBN_SCAF_36
CRBN,LR-SCAF00352,1,f02c7b93,CRBN_SCAF_13
CRBN,LR-SCAF00366,1,fbabac0e,CRBN_SCAF_24
CRBN,LR-SCAF00368,1,fdba3dfb,CRBN_SCAF_40
Cbl-b,LR-SCAF00286,1,bf99e947,Cbl-b_SCAF_1
Cbl-b,LR-SCAF00337,1,e3a2391e,Cbl-b_SCAF_3
Cbl-b,LR-SCAF00363,1,f6f80973,Cbl-b_SCAF_2
DCAF1,LR-SCAF00098,5,45c0b344,DCAF1_SCAF_4
DCAF1,LR-SCAF00025,2,0dad107d,DCAF1_SCAF_7
DCAF1,LR-SCAF00173,2,7fb2ecd2,DCAF1_SCAF_6
DCAF1,LR-SCAF00225,2,93b39f15,DCAF1_SCAF_11
DCAF1,LR-SCAF00257,2,ab5e5c84,DCAF1_SCAF_10
DCAF1,LR-SCAF00011,1,071ba927,DCAF1_SCAF_16
DCAF1,LR-SCAF00108,1,4c5b1339,DCAF1_SCAF_15
DCAF1,LR-SCAF00121,1,553161db,DCAF1_SCAF_3
DCAF1,LR-SCAF00145,1,663967fd,DCAF1_SCAF_9
DCAF1,LR-SCAF00209,1,8d22e845,DCAF1_SCAF_13
DCAF1,LR-SCAF00244,1,a0082199,DCAF1_SCAF_5
DCAF1,LR-SCAF00250,1,a4c5b1f7,DCAF1_SCAF_17
DCAF1,LR-SCAF00256,1,aa4c7f11,DCAF1_SCAF_14
DCAF1,LR-SCAF00273,1,b613b9e0,DCAF1_SCAF_12
DCAF1,LR-SCAF00316,1,d191821e,DCAF1_SCAF_1
DCAF1,LR-SCAF00328,1,dff42204,DCAF1_SCAF_2
DCAF1,LR-SCAF00339,1,e41f6f1c,DCAF1_SCAF_8
DCAF15,LR-SCAF00215,6,8fda97d5,DCAF15_SCAF_1
DCAF15,LR-SCAF00007,1,043dd9aa,DCAF15_SCAF_4
DCAF15,LR-SCAF00174,1,7fdfa2c9,DCAF15_SCAF_3
DCAF15,LR-SCAF00329,1,e142496b,DCAF15_SCAF_2
DCAF16,LR-SCAF00006,1,032061a8,DCAF16_SCAF_1
GID4,LR-SCAF00099,1,45d0eae5,GID4_SCAF_1
HOIP(RNF31),LR-SCAF00175,1,80019507,HOIP(RNF31)_SCAF_1
HOIP(RNF31),LR-SCAF00197,1,88207aea,HOIP(RNF31)_SCAF_2
HOIP(RNF31),LR-SCAF00272,1,b54cf8a8,HOIP(RNF31)_SCAF_3
HUWE1,LR-SCAF00319,2,d442e4d3,HUWE1_SCAF_1
KEAP1,LR-SCAF00131,5,5bb4cd96,KEAP1_SCAF_13
KEAP1,LR-SCAF00080,4,392becf9,KEAP1_SCAF_3
KEAP1,LR-SCAF00056,3,2bb33eb6,KEAP1_SCAF_41
KEAP1,LR-SCAF00179,3,81c2d1e9,KEAP1_SCAF_55
KEAP1,LR-SCAF00015,2,0b61e353,KEAP1_SCAF_1
KEAP1,LR-SCAF00017,2,0c0fa4cc,KEAP1_SCAF_22
KEAP1,LR-SCAF00023,2,0d78dc29,KEAP1_SCAF_29
KEAP1,LR-SCAF00069,2,335aedd3,KEAP1_SCAF_14
KEAP1,LR-SCAF00081,2,39972972,KEAP1_SCAF_43
KEAP1,LR-SCAF00091,2,414d9e31,KEAP1_SCAF_30
KEAP1,LR-SCAF00119,2,54426dda,KEAP1_SCAF_67
KEAP1,LR-SCAF00157,2,73e3831c,KEAP1_SCAF_4
KEAP1,LR-SCAF00231,2,9970801b,KEAP1_SCAF_12
KEAP1,LR-SCAF00321,2,d6c24203,KEAP1_SCAF_15
KEAP1,LR-SCAF00002,1,009a993d,KEAP1_SCAF_48
KEAP1,LR-SCAF00012,1,086ab553,KEAP1_SCAF_11
KEAP1,LR-SCAF00030,1,0fbb2ced,KEAP1_SCAF_65
KEAP1,LR-SCAF00036,1,14f6f8f5,KEAP1_SCAF_10
KEAP1,LR-SCAF00042,1,1abbb07f,KEAP1_SCAF_47
KEAP1,LR-SCAF00046,1,1fad0399,KEAP1_SCAF_23
KEAP1,LR-SCAF00049,1,24459e25,KEAP1_SCAF_32
KEAP1,LR-SCAF00052,1,2791a328,KEAP1_SCAF_50
KEAP1,LR-SCAF00055,1,2b3918c7,KEAP1_SCAF_64
KEAP1,LR-SCAF00059,1,2d9e0be4,KEAP1_SCAF_71
KEAP1,LR-SCAF00065,1,327c8c7c,KEAP1_SCAF_19
KEAP1,LR-SCAF00077,1,373a41fe,KEAP1_SCAF_27
KEAP1,LR-SCAF00084,1,3dcd0ae8,KEAP1_SCAF_42
KEAP1,LR-SCAF00085,1,3e761c10,KEAP1_SCAF_24
KEAP1,LR-SCAF00118,1,5429c8b4,KEAP1_SCAF_5
KEAP1,LR-SCAF00123,1,561ef090,KEAP1_SCAF_37
KEAP1,LR-SCAF00125,1,56acc5a7,KEAP1_SCAF_7
KEAP1,LR-SCAF00130,1,5b1cfc5b,KEAP1_SCAF_36
KEAP1,LR-SCAF00141,1,62e8bf8e,KEAP1_SCAF_52
KEAP1,LR-SCAF00158,1,7484f9ab,KEAP1_SCAF_31
KEAP1,LR-SCAF00160,1,76042db5,KEAP1_SCAF_28
KEAP1,LR-SCAF00168,1,79dc462f,KEAP1_SCAF_17
KEAP1,LR-SCAF00170,1,7a9485f4,KEAP1_SCAF_45
KEAP1,LR-SCAF00171,1,7d421122,KEAP1_SCAF_56
KEAP1,LR-SCAF00176,1,8097b959,KEAP1_SCAF_63
KEAP1,LR-SCAF00182,1,8210da1c,KEAP1_SCAF_60
KEAP1,LR-SCAF00185,1,830437f4,KEAP1_SCAF_21
KEAP1,LR-SCAF00189,1,85047334,KEAP1_SCAF_46
KEAP1,LR-SCAF00190,1,8540716d,KEAP1_SCAF_70
KEAP1,LR-SCAF00200,1,89c06b8f,KEAP1_SCAF_66
KEAP1,LR-SCAF00204,1,8a78dae3,KEAP1_SCAF_44
KEAP1,LR-SCAF00210,1,8d6062d9,KEAP1_SCAF_26
KEAP1,LR-SCAF00213,1,8ed40683,KEAP1_SCAF_34
KEAP1,LR-SCAF00216,1,90a9b679,KEAP1_SCAF_16
KEAP1,LR-SCAF00219,1,927a5aa0,KEAP1_SCAF_40
KEAP1,LR-SCAF00229,1,972d2b1e,KEAP1_SCAF_18
KEAP1,LR-SCAF00230,1,980b70ea,KEAP1_SCAF_58
KEAP1,LR-SCAF00240,1,9e188fdd,KEAP1_SCAF_51
KEAP1,LR-SCAF00248,1,a4758722,KEAP1_SCAF_25
KEAP1,LR-SCAF00261,1,ade4826c,KEAP1_SCAF_38
KEAP1,LR-SCAF00263,1,ae7065f9,KEAP1_SCAF_54
KEAP1,LR-SCAF00268,1,b378c02e,KEAP1_SCAF_33
KEAP1,LR-SCAF00276,1,b7bf4532,KEAP1_SCAF_49
KEAP1,LR-SCAF00279,1,b91bbdb2,KEAP1_SCAF_6
KEAP1,LR-SCAF00280,1,b9bcbd87,KEAP1_SCAF_8
KEAP1,LR-SCAF00282,1,bb3f1616,KEAP1_SCAF_68
KEAP1,LR-SCAF00283,1,bc342e7d,KEAP1_SCAF_35
KEAP1,LR-SCAF00305,1,cb318e39,KEAP1_SCAF_2
KEAP1,LR-SCAF00312,1,cfa059c0,KEAP1_SCAF_57
KEAP1,LR-SCAF00322,1,d822e5ee,KEAP1_SCAF_39
KEAP1,LR-SCAF00332,1,e202be48,KEAP1_SCAF_61
KEAP1,LR-SCAF00334,1,e259aa4c,KEAP1_SCAF_53
KEAP1,LR-SCAF00335,1,e2ac831d,KEAP1_SCAF_20
KEAP1,LR-SCAF00357,1,f303ffb9,KEAP1_SCAF_69
KEAP1,LR-SCAF00364,1,f8bbb460,KEAP1_SCAF_62
KEAP1,LR-SCAF00367,1,fda7e042,KEAP1_SCAF_9
KEAP1,LR-SCAF00371,1,fe69d68f,KEAP1_SCAF_59
LIVIN,LR-SCAF00005,1,00e15ffe,LIVIN_SCAF_6
LIVIN,LR-SCAF00192,1,85813b1f,LIVIN_SCAF_1
LIVIN,LR-SCAF00231,1,9970801b,LIVIN_SCAF_7
LIVIN,LR-SCAF00247,1,a464f5cc,LIVIN_SCAF_4
LIVIN,LR-SCAF00281,1,ba1b5668,LIVIN_SCAF_5
LIVIN,LR-SCAF00294,1,c3032de8,LIVIN_SCAF_3
LIVIN,LR-SCAF00309,1,cdc82523,LIVIN_SCAF_2
MDM2,LR-SCAF00075,10,3689d426,MDM2_SCAF_17
MDM2,LR-SCAF00031,7,102917a2,MDM2_SCAF_102917a2
MDM2,LR-SCAF00333,5,e2518056,MDM2_SCAF_3
MDM2,LR-SCAF00254,4,a90fce23,MDM2_SCAF_16
MDM2,LR-SCAF00296,4,c3c0f007,MDM2_SCAF_62
MDM2,LR-SCAF00166,3,788cb04f,MDM2_SCAF_1
MDM2,LR-SCAF00187,3,836621cc,MDM2_SCAF_22
MDM2,LR-SCAF00028,2,0f02df96,MDM2_SCAF_12
MDM2,LR-SCAF00040,2,1713e683,MDM2_SCAF_31
MDM2,LR-SCAF00088,2,408680a6,MDM2_SCAF_408680a6
MDM2,LR-SCAF00101,2,475e369c,MDM2_SCAF_26
MDM2,LR-SCAF00104,2,488d2785,MDM2_SCAF_18
MDM2,LR-SCAF00114,2,51968811,MDM2_SCAF_21
MDM2,LR-SCAF00146,2,667ff8dd,MDM2_SCAF_44
MDM2,LR-SCAF00164,2,7828a6cd,MDM2_SCAF_29
MDM2,LR-SCAF00221,2,92f0dc5b,MDM2_SCAF_11
MDM2,LR-SCAF00231,2,9970801b,MDM2_SCAF_4
MDM2,LR-SCAF00285,2,bdf24a45,MDM2_SCAF_33
MDM2,LR-SCAF00341,2,e65383dc,MDM2_SCAF_54
MDM2,LR-SCAF00349,2,ee411f57,MDM2_SCAF_7
MDM2,LR-SCAF00004,1,00b85fcf,MDM2_SCAF_56
MDM2,LR-SCAF00009,1,0675e058,MDM2_SCAF_23
MDM2,LR-SCAF00018,1,0c3aa7a7,MDM2_SCAF_57
MDM2,LR-SCAF00019,1,0c44a538,MDM2_SCAF_20
MDM2,LR-SCAF00021,1,0ccf5625,MDM2_SCAF_42
MDM2,LR-SCAF00024,1,0da27555,MDM2_SCAF_27
MDM2,LR-SCAF00048,1,212e4828,MDM2_SCAF_45
MDM2,LR-SCAF00058,1,2bf86e3e,MDM2_SCAF_2bf86e3e
MDM2,LR-SCAF00062,1,2f999cf2,MDM2_SCAF_67
MDM2,LR-SCAF00072,1,35770470,MDM2_SCAF_50
MDM2,LR-SCAF00076,1,37069af6,MDM2_SCAF_35
MDM2,LR-SCAF00078,1,37b3cd5b,MDM2_SCAF_70
MDM2,LR-SCAF00086,1,3f56c184,MDM2_SCAF_8
MDM2,LR-SCAF00087,1,3fb6ede7,MDM2_SCAF_41
MDM2,LR-SCAF00089,1,40f65361,MDM2_SCAF_28
MDM2,LR-SCAF00090,1,413c3ba4,MDM2_SCAF_19
