Ligase,Scaffold_ID,Recruiter_Count,Scaffold_Hash,Original_Scaffold_ID_Group
MDM2,LR-SCAF00103,1,4854b51b,MDM2_SCAF_25
MDM2,LR-SCAF00106,1,4af46abe,MDM2_SCAF_59
MDM2,LR-SCAF00110,1,4d6e1598,MDM2_SCAF_43
MDM2,LR-SCAF00112,1,5071bba5,MDM2_SCAF_49
MDM2,LR-SCAF00127,1,59a4b7b9,MDM2_SCAF_68
MDM2,LR-SCAF00134,1,5e762187,MDM2_SCAF_60
MDM2,LR-SCAF00138,1,60206d7e,MDM2_SCAF_14
MDM2,LR-SCAF00139,1,602da2b8,MDM2_SCAF_13
MDM2,LR-SCAF00143,1,6367056e,MDM2_SCAF_24
MDM2,LR-SCAF00147,1,67641f8b,MDM2_SCAF_6
MDM2,LR-SCAF00149,1,6b26f3cb,MDM2_SCAF_58
MDM2,LR-SCAF00155,1,71e77d66,MDM2_SCAF_10
MDM2,LR-SCAF00161,1,760ab01a,MDM2_SCAF_760ab01a
MDM2,LR-SCAF00162,1,76cf83bf,MDM2_SCAF_55
MDM2,LR-SCAF00178,1,81b81ee0,MDM2_SCAF_37
MDM2,LR-SCAF00180,1,81d75b80,MDM2_SCAF_32
MDM2,LR-SCAF00184,1,8280ebad,MDM2_SCAF_34
MDM2,LR-SCAF00194,1,8644b171,MDM2_SCAF_64
MDM2,LR-SCAF00196,1,87ccdfb5,MDM2_SCAF_61
MDM2,LR-SCAF00201,1,89c2f209,MDM2_SCAF_15
MDM2,LR-SCAF00202,1,89d1b783,MDM2_SCAF_48
MDM2,LR-SCAF00206,1,8b7236b6,MDM2_SCAF_5
MDM2,LR-SCAF00223,1,934dcdfd,MDM2_SCAF_39
MDM2,LR-SCAF00226,1,94995f78,MDM2_SCAF_38
MDM2,LR-SCAF00228,1,9682f4ff,MDM2_SCAF_47
MDM2,LR-SCAF00233,1,9ae6da2b,MDM2_SCAF_52
MDM2,LR-SCAF00258,1,ab87471f,MDM2_SCAF_65
MDM2,LR-SCAF00277,1,b802407d,MDM2_SCAF_2
MDM2,LR-SCAF00288,1,c0cae208,MDM2_SCAF_51
MDM2,LR-SCAF00292,1,c246366b,MDM2_SCAF_66
MDM2,LR-SCAF00301,1,c9b79d6e,MDM2_SCAF_53
MDM2,LR-SCAF00313,1,d000c614,MDM2_SCAF_30
MDM2,LR-SCAF00327,1,dff1bb21,MDM2_SCAF_69
MDM2,LR-SCAF00331,1,e1a2b3c4,MDM2_SCAF_63
MDM2,LR-SCAF00338,1,e3aa9b75,MDM2_SCAF_46
MDM2,LR-SCAF00342,1,e7872517,MDM2_SCAF_9
MDM2,LR-SCAF00369,1,fe02860c,MDM2_SCAF_40
MDM2,LR-SCAF00370,1,fe15cea1,MDM2_SCAF_36
MDMX,LR-SCAF00166,3,788cb04f,MDMX_SCAF_2
MDMX,LR-SCAF00169,1,7a0f29f7,MDMX_SCAF_1
Parkin,LR-SCAF00298,1,c7612d7c,Parkin_SCAF_1
RNF146,LR-SCAF00348,2,ed5de95c,RNF146_SCAF_1
SOCS2,LR-SCAF00232,6,9a4eb7a7,SOCS2_SCAF_1
TRIM21,LR-SCAF00231,12,9970801b,TRIM21_SCAF_2
TRIM21,LR-SCAF00219,6,927a5aa0,TRIM21_SCAF_19
TRIM21,LR-SCAF00220,4,92b2068f,TRIM21_SCAF_24
TRIM21,LR-SCAF00345,3,e8cf6b39,TRIM21_SCAF_27
TRIM21,LR-SCAF00115,2,52affb69,TRIM21_SCAF_76
TRIM21,LR-SCAF00245,2,a0d1dc95,TRIM21_SCAF_16
TRIM21,LR-SCAF00302,2,ca2a6d6b,TRIM21_SCAF_49
TRIM21,LR-SCAF00303,2,ca5eeffe,TRIM21_SCAF_17
TRIM21,LR-SCAF00325,2,dd6e25dc,TRIM21_SCAF_6
TRIM21,LR-SCAF00347,2,eccebd60,TRIM21_SCAF_35
TRIM21,LR-SCAF00359,2,f55f0cdc,TRIM21_SCAF_14
TRIM21,LR-SCAF00001,1,0083d9fe,TRIM21_SCAF_43
TRIM21,LR-SCAF00008,1,053d8906,TRIM21_SCAF_39
TRIM21,LR-SCAF00010,1,06f0bb70,TRIM21_SCAF_29
TRIM21,LR-SCAF00029,1,0faf60ca,TRIM21_SCAF_51
TRIM21,LR-SCAF00035,1,133168ec,TRIM21_SCAF_71
TRIM21,LR-SCAF00038,1,15b30740,TRIM21_SCAF_68
TRIM21,LR-SCAF00044,1,1cb86c8a,TRIM21_SCAF_62
TRIM21,LR-SCAF00050,1,25ff9195,TRIM21_SCAF_72
TRIM21,LR-SCAF00064,1,31cd49bd,TRIM21_SCAF_10
TRIM21,LR-SCAF00066,1,32fb4803,TRIM21_SCAF_1
TRIM21,LR-SCAF00068,1,33529d62,TRIM21_SCAF_73
TRIM21,LR-SCAF00071,1,355b794b,TRIM21_SCAF_59
TRIM21,LR-SCAF00073,1,3601580f,TRIM21_SCAF_34
TRIM21,LR-SCAF00092,1,4168d13e,TRIM21_SCAF_5
TRIM21,LR-SCAF00094,1,41e54732,TRIM21_SCAF_41
TRIM21,LR-SCAF00095,1,4201b5e7,TRIM21_SCAF_31
TRIM21,LR-SCAF00107,1,4c4bef8e,TRIM21_SCAF_48
TRIM21,LR-SCAF00109,1,4cab11d7,TRIM21_SCAF_78
TRIM21,LR-SCAF00120,1,546ff65b,TRIM21_SCAF_54
TRIM21,LR-SCAF00126,1,5999df73,TRIM21_SCAF_42
TRIM21,LR-SCAF00133,1,5dc0c122,TRIM21_SCAF_8
TRIM21,LR-SCAF00135,1,5f481d92,TRIM21_SCAF_74
TRIM21,LR-SCAF00144,1,650cd44b,TRIM21_SCAF_66
TRIM21,LR-SCAF00148,1,6b18dffe,TRIM21_SCAF_55
TRIM21,LR-SCAF00152,1,70532317,TRIM21_SCAF_18
TRIM21,LR-SCAF00153,1,70c32d6f,TRIM21_SCAF_77
TRIM21,LR-SCAF00156,1,732bbfed,TRIM21_SCAF_63
TRIM21,LR-SCAF00159,1,74f865b6,TRIM21_SCAF_60
TRIM21,LR-SCAF00167,1,7891074f,TRIM21_SCAF_23
TRIM21,LR-SCAF00188,1,83e3ca04,TRIM21_SCAF_67
TRIM21,LR-SCAF00191,1,85503210,TRIM21_SCAF_40
TRIM21,LR-SCAF00198,1,88684ca7,TRIM21_SCAF_9
TRIM21,LR-SCAF00203,1,8a351e54,TRIM21_SCAF_64
TRIM21,LR-SCAF00207,1,8c4ac105,TRIM21_SCAF_58
TRIM21,LR-SCAF00208,1,8c4f468e,TRIM21_SCAF_3
TRIM21,LR-SCAF00212,1,8e023bd7,TRIM21_SCAF_36
TRIM21,LR-SCAF00217,1,91b5e5af,TRIM21_SCAF_21
TRIM21,LR-SCAF00218,1,922af821,TRIM21_SCAF_46
TRIM21,LR-SCAF00222,1,92fee6ac,TRIM21_SCAF_45
TRIM21,LR-SCAF00224,1,938a9865,TRIM21_SCAF_52
TRIM21,LR-SCAF00227,1,955ad841,TRIM21_SCAF_11
TRIM21,LR-SCAF00235,1,9b2aa019,TRIM21_SCAF_65
TRIM21,LR-SCAF00238,1,9de92e9d,TRIM21_SCAF_13
TRIM21,LR-SCAF00239,1,9e037e45,TRIM21_SCAF_25
TRIM21,LR-SCAF00243,1,9fb6c9b3,TRIM21_SCAF_12
TRIM21,LR-SCAF00249,1,a4a87fbc,TRIM21_SCAF_22
TRIM21,LR-SCAF00259,1,ac649b90,TRIM21_SCAF_50
TRIM21,LR-SCAF00266,1,b237ad03,TRIM21_SCAF_30
TRIM21,LR-SCAF00269,1,b3d6d51a,TRIM21_SCAF_57
TRIM21,LR-SCAF00270,1,b3f5828c,TRIM21_SCAF_28
TRIM21,LR-SCAF00274,1,b6697a20,TRIM21_SCAF_61
TRIM21,LR-SCAF00275,1,b69839f4,TRIM21_SCAF_38
TRIM21,LR-SCAF00278,1,b8e1ee65,TRIM21_SCAF_7
TRIM21,LR-SCAF00284,1,bc52da4c,TRIM21_SCAF_69
TRIM21,LR-SCAF00287,1,bffd5291,TRIM21_SCAF_70
TRIM21,LR-SCAF00291,1,c1d7a03c,TRIM21_SCAF_4
TRIM21,LR-SCAF00297,1,c592394b,TRIM21_SCAF_15
TRIM21,LR-SCAF00299,1,c8d43d47,TRIM21_SCAF_20
TRIM21,LR-SCAF00300,1,c977aab5,TRIM21_SCAF_56
TRIM21,LR-SCAF00306,1,cb3322eb,TRIM21_SCAF_53
TRIM21,LR-SCAF00323,1,da899d9b,TRIM21_SCAF_33
TRIM21,LR-SCAF00324,1,da95e4c9,TRIM21_SCAF_26
TRIM21,LR-SCAF00343,1,e7a419a1,TRIM21_SCAF_47
TRIM21,LR-SCAF00351,1,f0230b28,TRIM21_SCAF_32
TRIM21,LR-SCAF00354,1,f0e2956c,TRIM21_SCAF_75
TRIM21,LR-SCAF00355,1,f1399e56,TRIM21_SCAF_37
TRIM21,LR-SCAF00365,1,fafa892d,TRIM21_SCAF_44
TRIM24,LR-SCAF00113,1,50e510ac,TRIM24_SCAF_1
TRIM24,LR-SCAF00195,1,879804e0,TRIM24_SCAF_2
VHL,LR-SCAF00097,13,4479504e,VHL_SCAF_9
VHL,LR-SCAF00360,8,f5abcc43,VHL_SCAF_13
VHL,LR-SCAF00051,3,2765e0b6,VHL_SCAF_3
VHL,LR-SCAF00295,3,c36e270e,VHL_SCAF_7
VHL,LR-SCAF00105,2,491e9e63,VHL_SCAF_25
VHL,LR-SCAF00206,2,8b7236b6,VHL_SCAF_24
VHL,LR-SCAF00014,1,0b44a4fd,VHL_SCAF_8
VHL,LR-SCAF00020,1,0c9c5086,VHL_SCAF_4
VHL,LR-SCAF00033,1,12b930c3,VHL_SCAF_6
VHL,LR-SCAF00035,1,133168ec,VHL_SCAF_33
VHL,LR-SCAF00039,1,169d2e4b,VHL_SCAF_17
VHL,LR-SCAF00041,1,178aadff,VHL_SCAF_29
VHL,LR-SCAF00054,1,2a117df0,VHL_SCAF_19
VHL,LR-SCAF00057,1,2bcd9a35,VHL_SCAF_26
VHL,LR-SCAF00061,1,2ddaaf80,VHL_SCAF_27
VHL,LR-SCAF00063,1,3091a07a,VHL_SCAF_16
VHL,LR-SCAF00074,1,365c2417,VHL_SCAF_23
VHL,LR-SCAF00102,1,47ad247e,VHL_SCAF_11
VHL,LR-SCAF00122,1,55516ce1,VHL_SCAF_15
VHL,LR-SCAF00128,1,59b05290,VHL_SCAF_22
VHL,LR-SCAF00129,1,5af33132,VHL_SCAF_5
VHL,LR-SCAF00165,1,7869e375,VHL_SCAF_2
VHL,LR-SCAF00214,1,8f0b3fac,VHL_SCAF_1
VHL,LR-SCAF00260,1,acdbdd5f,VHL_SCAF_30
VHL,LR-SCAF00264,1,aeac063c,VHL_SCAF_21
VHL,LR-SCAF00265,1,b0dfe869,VHL_SCAF_14
VHL,LR-SCAF00293,1,c2d55d93,VHL_SCAF_31
VHL,LR-SCAF00307,1,cb9c95d5,VHL_SCAF_28
VHL,LR-SCAF00308,1,cdc78116,VHL_SCAF_20
VHL,LR-SCAF00311,1,ceae9cd4,VHL_SCAF_34
VHL,LR-SCAF00330,1,e14c9710,VHL_SCAF_12
VHL,LR-SCAF00344,1,e7dc5dc6,VHL_SCAF_18
VHL,LR-SCAF00356,1,f19493ee,VHL_SCAF_10
VHL,LR-SCAF00362,1,f6b8692a,VHL_SCAF_32
XIAP,LR-SCAF00053,4,27da9cc8,XIAP_SCAF_5
XIAP,LR-SCAF00124,4,56715195,XIAP_SCAF_21
XIAP,LR-SCAF00231,3,9970801b,XIAP_SCAF_10
XIAP,LR-SCAF00246,2,a26eb8ba,XIAP_SCAF_17
XIAP,LR-SCAF00314,2,d01f36bc,XIAP_SCAF_15
XIAP,LR-SCAF00003,1,00b73929,XIAP_SCAF_8
XIAP,LR-SCAF00013,1,0a042f59,XIAP_SCAF_24
XIAP,LR-SCAF00016,1,0bf24258,XIAP_SCAF_22
XIAP,LR-SCAF00026,1,0e582485,XIAP_SCAF_18
XIAP,LR-SCAF00037,1,1511e832,XIAP_SCAF_1511e832
XIAP,LR-SCAF00043,1,1bd1f33b,XIAP_SCAF_1bd1f33b
XIAP,LR-SCAF00047,1,1fbf69f8,XIAP_SCAF_4
XIAP,LR-SCAF00067,1,333d7b8c,XIAP_SCAF_7
XIAP,LR-SCAF00096,1,44341e76,XIAP_SCAF_20
XIAP,LR-SCAF00100,1,45f0c228,XIAP_SCAF_23
XIAP,LR-SCAF00111,1,4d932007,XIAP_SCAF_12
XIAP,LR-SCAF00186,1,832ce6bf,XIAP_SCAF_16
XIAP,LR-SCAF00219,1,927a5aa0,XIAP_SCAF_14
XIAP,LR-SCAF00242,1,9efc1c1e,XIAP_SCAF_1
XIAP,LR-SCAF00255,1,aa237c1e,XIAP_SCAF_6
XIAP,LR-SCAF00267,1,b3763965,XIAP_SCAF_3
XIAP,LR-SCAF00304,1,ca742bc7,XIAP_SCAF_13
XIAP,LR-SCAF00317,1,d360b04b,XIAP_SCAF_9
XIAP,LR-SCAF00350,1,ef4106a4,XIAP_SCAF_11
XIAP,LR-SCAF00353,1,f0ab0e88,XIAP_SCAF_25
XIAP,LR-SCAF00358,1,f3e29005,XIAP_SCAF_2
XIAP,LR-SCAF00361,1,f5e74ae5,XIAP_SCAF_19
cIAP1,LR-SCAF00067,3,333d7b8c,cIAP1_SCAF_6
cIAP1,LR-SCAF00005,1,00e15ffe,cIAP1_SCAF_3
cIAP1,LR-SCAF00045,1,1f579ed4,cIAP1_SCAF_7
cIAP1,LR-SCAF00053,1,27da9cc8,cIAP1_SCAF_1
cIAP1,LR-SCAF00079,1,37d997fe,cIAP1_SCAF_5
cIAP1,LR-SCAF00100,1,45f0c228,cIAP1_SCAF_10
cIAP1,LR-SCAF00124,1,56715195,cIAP1_SCAF_9
cIAP1,LR-SCAF00136,1,5f5a5983,cIAP1_SCAF_11
cIAP1,LR-SCAF00140,1,626f25b5,cIAP1_SCAF_2
cIAP1,LR-SCAF00231,1,9970801b,cIAP1_SCAF_4
cIAP1,LR-SCAF00326,1,de9a4163,cIAP1_SCAF_8
