Ligase,Unified_Scaffold_ID,Recruiter_Count,Ligase_Local_Scaffold_Count,Scaffold_ID_Group,Recruiter_Code_Group,Total_Recruiters_For_Ligase,Supercluster_Density_For_Ligase
CHIP,LR-SCAF00032,1,1,CHIP_SCAF_2,LR00002,5,0.2
CHIP,LR-SCAF00083,1,1,CHIP_SCAF_3,LR00003,5,0.2
CHIP,LR-SCAF00193,1,1,CHIP_SCAF_5,LR00005,5,0.2
CHIP,LR-SCAF00252,1,1,CHIP_SCAF_4,LR00004,5,0.2
CHIP,LR-SCAF00262,1,1,CHIP_SCAF_1,LR00001,5,0.2
CRBN,LR-SCAF00372,39,1,CRBN_SCAF_1,LR00006;LR00007;LR00008;LR00009;LR00010;LR00011;LR00012;LR00013;LR00014;LR00016;LR00017;LR00018;LR00019;LR00020;LR00023;LR00024;LR00026;LR00027;LR00029;LR00032;LR00033;LR00034;LR00035;LR00036;LR00037;LR00040;LR00042;LR00044;LR00045;LR00050;LR00060;LR00063;LR00064;LR00065;LR00079;LR00081;LR00086;LR00087;LR00097,108,0.3611111111111111
CRBN,LR-SCAF00150,7,1,CRBN_SCAF_6,LR00028;LR00066;LR00067;LR00068;LR00069;LR00070;LR00071,108,0.06481481481481481
CRBN,LR-SCAF00183,6,1,CRBN_SCAF_18,LR00055;LR00056;LR00057;LR00058;LR00077;LR00080,108,0.05555555555555555
CRBN,LR-SCAF00022,5,1,CRBN_SCAF_20,LR00072;LR00073;LR00074;LR00075;LR00076,108,0.046296296296296294
CRBN,LR-SCAF00318,4,1,CRBN_SCAF_4,LR00022;LR00048;LR00059;LR00085,108,0.037037037037037035
CRBN,LR-SCAF00082,2,1,CRBN_SCAF_12,LR00046;LR00096,108,0.018518518518518517
CRBN,LR-SCAF00093,2,1,CRBN_SCAF_22,LR00082;LR00083,108,0.018518518518518517
CRBN,LR-SCAF00172,2,1,CRBN_SCAF_15,LR00051;LR00098,108,0.018518518518518517
CRBN,LR-SCAF00199,2,1,CRBN_SCAF_16,LR00052;LR00061,108,0.018518518518518517
CRBN,LR-SCAF00234,2,1,CRBN_SCAF_30,LR00094;LR00095,108,0.018518518518518517
CRBN,LR-SCAF00290,2,1,CRBN_SCAF_7,LR00030;LR00039,108,0.018518518518518517
CRBN,LR-SCAF00315,2,1,CRBN_SCAF_3,LR00021;LR00111,108,0.018518518518518517
CRBN,LR-SCAF00340,2,1,CRBN_SCAF_17,LR00053;LR00054,108,0.018518518518518517
CRBN,LR-SCAF00020,1,1,CRBN_SCAF_10,LR00041,108,0.009259259259259259
CRBN,LR-SCAF00027,1,1,CRBN_SCAF_37,LR00105,108,0.009259259259259259
CRBN,LR-SCAF00034,1,1,CRBN_SCAF_8,LR00031,108,0.009259259259259259
CRBN,LR-SCAF00060,1,1,CRBN_SCAF_35,LR00103,108,0.009259259259259259
CRBN,LR-SCAF00070,1,1,CRBN_SCAF_11,LR00043,108,0.009259259259259259
CRBN,LR-SCAF00116,1,1,CRBN_SCAF_44,LR00113,108,0.009259259259259259
CRBN,LR-SCAF00117,1,1,CRBN_SCAF_32,LR00100,108,0.009259259259259259
CRBN,LR-SCAF00132,1,1,CRBN_SCAF_9,LR00038,108,0.009259259259259259
CRBN,LR-SCAF00137,1,1,CRBN_SCAF_43,LR00112,108,0.009259259259259259
CRBN,LR-SCAF00142,1,1,CRBN_SCAF_28,LR00092,108,0.009259259259259259
CRBN,LR-SCAF00151,1,1,CRBN_SCAF_27,LR00091,108,0.009259259259259259
CRBN,LR-SCAF00154,1,1,CRBN_SCAF_14,LR00049,108,0.009259259259259259
CRBN,LR-SCAF00163,1,1,CRBN_SCAF_29,LR00093,108,0.009259259259259259
CRBN,LR-SCAF00177,1,1,CRBN_SCAF_33,LR00101,108,0.009259259259259259
CRBN,LR-SCAF00181,1,1,CRBN_SCAF_42,LR00110,108,0.009259259259259259
CRBN,LR-SCAF00205,1,1,CRBN_SCAF_26,LR00090,108,0.009259259259259259
CRBN,LR-SCAF00211,1,1,CRBN_SCAF_39,LR00107,108,0.009259259259259259
CRBN,LR-SCAF00236,1,1,CRBN_SCAF_21,LR00078,108,0.009259259259259259
CRBN,LR-SCAF00237,1,1,CRBN_SCAF_34,LR00102,108,0.009259259259259259
CRBN,LR-SCAF00241,1,1,CRBN_SCAF_23,LR00084,108,0.009259259259259259
CRBN,LR-SCAF00251,1,1,CRBN_SCAF_25,LR00089,108,0.009259259259259259
CRBN,LR-SCAF00253,1,1,CRBN_SCAF_2,LR00015,108,0.009259259259259259
CRBN,LR-SCAF00271,1,1,CRBN_SCAF_38,LR00106,108,0.009259259259259259
CRBN,LR-SCAF00289,1,1,CRBN_SCAF_41,LR00109,108,0.009259259259259259
CRBN,LR-SCAF00310,1,1,CRBN_SCAF_5,LR00025,108,0.009259259259259259
CRBN,LR-SCAF00320,1,1,CRBN_SCAF_31,LR00099,108,0.009259259259259259
CRBN,LR-SCAF00336,1,1,CRBN_SCAF_19,LR00062,108,0.009259259259259259
CRBN,LR-SCAF00346,1,1,CRBN_SCAF_36,LR00104,108,0.009259259259259259
CRBN,LR-SCAF00352,1,1,CRBN_SCAF_13,LR00047,108,0.009259259259259259
CRBN,LR-SCAF00366,1,1,CRBN_SCAF_24,LR00088,108,0.009259259259259259
CRBN,LR-SCAF00368,1,1,CRBN_SCAF_40,LR00108,108,0.009259259259259259
Cbl-b,LR-SCAF00286,1,1,Cbl-b_SCAF_1,LR00114,3,0.3333333333333333
Cbl-b,LR-SCAF00337,1,1,Cbl-b_SCAF_3,LR00116,3,0.3333333333333333
Cbl-b,LR-SCAF00363,1,1,Cbl-b_SCAF_2,LR00115,3,0.3333333333333333
DCAF1,LR-SCAF00098,5,1,DCAF1_SCAF_4,LR00120;LR00121;LR00122;LR00123;LR00124,25,0.2
DCAF1,LR-SCAF00025,2,1,DCAF1_SCAF_7,LR00128;LR00129,25,0.08
DCAF1,LR-SCAF00173,2,1,DCAF1_SCAF_6,LR00126;LR00127,25,0.08
DCAF1,LR-SCAF00225,2,1,DCAF1_SCAF_11,LR00134;LR00135,25,0.08
DCAF1,LR-SCAF00257,2,1,DCAF1_SCAF_10,LR00132;LR00133,25,0.08
DCAF1,LR-SCAF00011,1,1,DCAF1_SCAF_16,LR00140,25,0.04
DCAF1,LR-SCAF00108,1,1,DCAF1_SCAF_15,LR00139,25,0.04
DCAF1,LR-SCAF00121,1,1,DCAF1_SCAF_3,LR00119,25,0.04
DCAF1,LR-SCAF00145,1,1,DCAF1_SCAF_9,LR00131,25,0.04
DCAF1,LR-SCAF00209,1,1,DCAF1_SCAF_13,LR00137,25,0.04
DCAF1,LR-SCAF00244,1,1,DCAF1_SCAF_5,LR00125,25,0.04
DCAF1,LR-SCAF00250,1,1,DCAF1_SCAF_17,LR00141,25,0.04
DCAF1,LR-SCAF00256,1,1,DCAF1_SCAF_14,LR00138,25,0.04
DCAF1,LR-SCAF00273,1,1,DCAF1_SCAF_12,LR00136,25,0.04
DCAF1,LR-SCAF00316,1,1,DCAF1_SCAF_1,LR00117,25,0.04
DCAF1,LR-SCAF00328,1,1,DCAF1_SCAF_2,LR00118,25,0.04
DCAF1,LR-SCAF00339,1,1,DCAF1_SCAF_8,LR00130,25,0.04
DCAF15,LR-SCAF00215,6,1,DCAF15_SCAF_1,LR00142;LR00143;LR00145;LR00146;LR00147;LR00148,9,0.6666666666666666
DCAF15,LR-SCAF00007,1,1,DCAF15_SCAF_4,LR00150,9,0.1111111111111111
DCAF15,LR-SCAF00174,1,1,DCAF15_SCAF_3,LR00149,9,0.1111111111111111
DCAF15,LR-SCAF00329,1,1,DCAF15_SCAF_2,LR00144,9,0.1111111111111111
DCAF16,LR-SCAF00006,1,1,DCAF16_SCAF_1,LR00151,1,1.0
GID4,LR-SCAF00099,1,1,GID4_SCAF_1,LR00152,1,1.0
HOIP(RNF31),LR-SCAF00175,1,1,HOIP(RNF31)_SCAF_1,LR00153,3,0.3333333333333333
HOIP(RNF31),LR-SCAF00197,1,1,HOIP(RNF31)_SCAF_2,LR00154,3,0.3333333333333333
HOIP(RNF31),LR-SCAF00272,1,1,HOIP(RNF31)_SCAF_3,LR00155,3,0.3333333333333333
HUWE1,LR-SCAF00319,2,1,HUWE1_SCAF_1,LR00156;LR00157,2,1.0
KEAP1,LR-SCAF00131,5,1,KEAP1_SCAF_13,LR00174;LR00175;LR00184;LR00185;LR00186,92,0.05434782608695652
KEAP1,LR-SCAF00080,4,1,KEAP1_SCAF_3,LR00161;LR00166;LR00167;LR00189,92,0.043478260869565216
KEAP1,LR-SCAF00056,3,1,KEAP1_SCAF_41,LR00212;LR00213;LR00214,92,0.03260869565217391
KEAP1,LR-SCAF00179,3,1,KEAP1_SCAF_55,LR00231;LR00232;LR00233,92,0.03260869565217391
KEAP1,LR-SCAF00015,2,1,KEAP1_SCAF_1,LR00158;LR00159,92,0.021739130434782608
KEAP1,LR-SCAF00017,2,1,KEAP1_SCAF_22,LR00191;LR00192,92,0.021739130434782608
KEAP1,LR-SCAF00023,2,1,KEAP1_SCAF_29,LR00199;LR00221,92,0.021739130434782608
KEAP1,LR-SCAF00069,2,1,KEAP1_SCAF_14,LR00176;LR00187,92,0.021739130434782608
KEAP1,LR-SCAF00081,2,1,KEAP1_SCAF_43,LR00216;LR00217,92,0.021739130434782608
KEAP1,LR-SCAF00091,2,1,KEAP1_SCAF_30,LR00200;LR00207,92,0.021739130434782608
KEAP1,LR-SCAF00119,2,1,KEAP1_SCAF_67,LR00245;LR00246,92,0.021739130434782608
KEAP1,LR-SCAF00157,2,1,KEAP1_SCAF_4,LR00162;LR00163,92,0.021739130434782608
KEAP1,LR-SCAF00231,2,1,KEAP1_SCAF_12,LR00173;LR00179,92,0.021739130434782608
KEAP1,LR-SCAF00321,2,1,KEAP1_SCAF_15,LR00177;LR00188,92,0.021739130434782608
KEAP1,LR-SCAF00002,1,1,KEAP1_SCAF_48,LR00223,92,0.010869565217391304
KEAP1,LR-SCAF00012,1,1,KEAP1_SCAF_11,LR00172,92,0.010869565217391304
KEAP1,LR-SCAF00030,1,1,KEAP1_SCAF_65,LR00243,92,0.010869565217391304
KEAP1,LR-SCAF00036,1,1,KEAP1_SCAF_10,LR00171,92,0.010869565217391304
KEAP1,LR-SCAF00042,1,1,KEAP1_SCAF_47,LR00222,92,0.010869565217391304
KEAP1,LR-SCAF00046,1,1,KEAP1_SCAF_23,LR00193,92,0.010869565217391304
KEAP1,LR-SCAF00049,1,1,KEAP1_SCAF_32,LR00202,92,0.010869565217391304
KEAP1,LR-SCAF00052,1,1,KEAP1_SCAF_50,LR00225,92,0.010869565217391304
KEAP1,LR-SCAF00055,1,1,KEAP1_SCAF_64,LR00242,92,0.010869565217391304
KEAP1,LR-SCAF00059,1,1,KEAP1_SCAF_71,LR00250,92,0.010869565217391304
KEAP1,LR-SCAF00065,1,1,KEAP1_SCAF_19,LR00182,92,0.010869565217391304
KEAP1,LR-SCAF00077,1,1,KEAP1_SCAF_27,LR00197,92,0.010869565217391304
KEAP1,LR-SCAF00084,1,1,KEAP1_SCAF_42,LR00215,92,0.010869565217391304
KEAP1,LR-SCAF00085,1,1,KEAP1_SCAF_24,LR00194,92,0.010869565217391304
KEAP1,LR-SCAF00118,1,1,KEAP1_SCAF_5,LR00164,92,0.010869565217391304
KEAP1,LR-SCAF00123,1,1,KEAP1_SCAF_37,LR00208,92,0.010869565217391304
KEAP1,LR-SCAF00125,1,1,KEAP1_SCAF_7,LR00168,92,0.010869565217391304
KEAP1,LR-SCAF00130,1,1,KEAP1_SCAF_36,LR00206,92,0.010869565217391304
KEAP1,LR-SCAF00141,1,1,KEAP1_SCAF_52,LR00227,92,0.010869565217391304
KEAP1,LR-SCAF00158,1,1,KEAP1_SCAF_31,LR00201,92,0.010869565217391304
KEAP1,LR-SCAF00160,1,1,KEAP1_SCAF_28,LR00198,92,0.010869565217391304
KEAP1,LR-SCAF00168,1,1,KEAP1_SCAF_17,LR00180,92,0.010869565217391304
KEAP1,LR-SCAF00170,1,1,KEAP1_SCAF_45,LR00219,92,0.010869565217391304
KEAP1,LR-SCAF00171,1,1,KEAP1_SCAF_56,LR00234,92,0.010869565217391304
KEAP1,LR-SCAF00176,1,1,KEAP1_SCAF_63,LR00241,92,0.010869565217391304
KEAP1,LR-SCAF00182,1,1,KEAP1_SCAF_60,LR00238,92,0.010869565217391304
KEAP1,LR-SCAF00185,1,1,KEAP1_SCAF_21,LR00190,92,0.010869565217391304
KEAP1,LR-SCAF00189,1,1,KEAP1_SCAF_46,LR00220,92,0.010869565217391304
KEAP1,LR-SCAF00190,1,1,KEAP1_SCAF_70,LR00249,92,0.010869565217391304
KEAP1,LR-SCAF00200,1,1,KEAP1_SCAF_66,LR00244,92,0.010869565217391304
KEAP1,LR-SCAF00204,1,1,KEAP1_SCAF_44,LR00218,92,0.010869565217391304
KEAP1,LR-SCAF00210,1,1,KEAP1_SCAF_26,LR00196,92,0.010869565217391304
KEAP1,LR-SCAF00213,1,1,KEAP1_SCAF_34,LR00204,92,0.010869565217391304
KEAP1,LR-SCAF00216,1,1,KEAP1_SCAF_16,LR00178,92,0.010869565217391304
KEAP1,LR-SCAF00219,1,1,KEAP1_SCAF_40,LR00211,92,0.010869565217391304
KEAP1,LR-SCAF00229,1,1,KEAP1_SCAF_18,LR00181,92,0.010869565217391304
KEAP1,LR-SCAF00230,1,1,KEAP1_SCAF_58,LR00236,92,0.010869565217391304
KEAP1,LR-SCAF00240,1,1,KEAP1_SCAF_51,LR00226,92,0.010869565217391304
KEAP1,LR-SCAF00248,1,1,KEAP1_SCAF_25,LR00195,92,0.010869565217391304
KEAP1,LR-SCAF00261,1,1,KEAP1_SCAF_38,LR00209,92,0.010869565217391304
KEAP1,LR-SCAF00263,1,1,KEAP1_SCAF_54,LR00230,92,0.010869565217391304
KEAP1,LR-SCAF00268,1,1,KEAP1_SCAF_33,LR00203,92,0.010869565217391304
KEAP1,LR-SCAF00276,1,1,KEAP1_SCAF_49,LR00224,92,0.010869565217391304
KEAP1,LR-SCAF00279,1,1,KEAP1_SCAF_6,LR00165,92,0.010869565217391304
KEAP1,LR-SCAF00280,1,1,KEAP1_SCAF_8,LR00169,92,0.010869565217391304
KEAP1,LR-SCAF00282,1,1,KEAP1_SCAF_68,LR00247,92,0.010869565217391304
KEAP1,LR-SCAF00283,1,1,KEAP1_SCAF_35,LR00205,92,0.010869565217391304
KEAP1,LR-SCAF00305,1,1,KEAP1_SCAF_2,LR00160,92,0.010869565217391304
KEAP1,LR-SCAF00312,1,1,KEAP1_SCAF_57,LR00235,92,0.010869565217391304
KEAP1,LR-SCAF00322,1,1,KEAP1_SCAF_39,LR00210,92,0.010869565217391304
KEAP1,LR-SCAF00332,1,1,KEAP1_SCAF_61,LR00239,92,0.010869565217391304
KEAP1,LR-SCAF00334,1,1,KEAP1_SCAF_53,LR00228,92,0.010869565217391304
KEAP1,LR-SCAF00335,1,1,KEAP1_SCAF_20,LR00183,92,0.010869565217391304
KEAP1,LR-SCAF00357,1,1,KEAP1_SCAF_69,LR00248,92,0.010869565217391304
KEAP1,LR-SCAF00364,1,1,KEAP1_SCAF_62,LR00240,92,0.010869565217391304
KEAP1,LR-SCAF00367,1,1,KEAP1_SCAF_9,LR00170,92,0.010869565217391304
KEAP1,LR-SCAF00371,1,1,KEAP1_SCAF_59,LR00237,92,0.010869565217391304
LIVIN,LR-SCAF00005,1,1,LIVIN_SCAF_6,LR00256,7,0.14285714285714285
LIVIN,LR-SCAF00192,1,1,LIVIN_SCAF_1,LR00251,7,0.14285714285714285
LIVIN,LR-SCAF00231,1,1,LIVIN_SCAF_7,LR00257,7,0.14285714285714285
LIVIN,LR-SCAF00247,1,1,LIVIN_SCAF_4,LR00254,7,0.14285714285714285
LIVIN,LR-SCAF00281,1,1,LIVIN_SCAF_5,LR00255,7,0.14285714285714285
LIVIN,LR-SCAF00294,1,1,LIVIN_SCAF_3,LR00253,7,0.14285714285714285
LIVIN,LR-SCAF00309,1,1,LIVIN_SCAF_2,LR00252,7,0.14285714285714285
MDM2,LR-SCAF00075,10,1,MDM2_SCAF_17,LR00281;LR00282;LR00320;LR00335;LR00336;LR00359;LR00360;LR00361;LR00370;LR00371,116,0.08620689655172414
MDM2,LR-SCAF00031,7,1,MDM2_SCAF_102917a2,LR00300;LR00312;LR00333;LR00337;LR00350;LR00351;LR00369,116,0.0603448275862069
MDM2,LR-SCAF00333,5,1,MDM2_SCAF_3,LR00261;LR00262;LR00263;LR00334;LR00341,116,0.04310344827586207
MDM2,LR-SCAF00254,4,1,MDM2_SCAF_16,LR00278;LR00279;LR00280;LR00301,116,0.034482758620689655
MDM2,LR-SCAF00296,4,1,MDM2_SCAF_62,LR00353;LR00354;LR00355;LR00357,116,0.034482758620689655
MDM2,LR-SCAF00166,3,1,MDM2_SCAF_1,LR00258;LR00259;LR00367,116,0.02586206896551724
MDM2,LR-SCAF00187,3,1,MDM2_SCAF_22,LR00289;LR00290;LR00291,116,0.02586206896551724
MDM2,LR-SCAF00028,2,1,MDM2_SCAF_12,LR00273;LR00274,116,0.017241379310344827
MDM2,LR-SCAF00040,2,1,MDM2_SCAF_31,LR00303;LR00308,116,0.017241379310344827
MDM2,LR-SCAF00088,2,1,MDM2_SCAF_408680a6,LR00331;LR00332,116,0.017241379310344827
MDM2,LR-SCAF00101,2,1,MDM2_SCAF_26,LR00295;LR00330,116,0.017241379310344827
MDM2,LR-SCAF00104,2,1,MDM2_SCAF_18,LR00283;LR00284,116,0.017241379310344827
MDM2,LR-SCAF00114,2,1,MDM2_SCAF_21,LR00287;LR00288,116,0.017241379310344827
MDM2,LR-SCAF00146,2,1,MDM2_SCAF_44,LR00321;LR00322,116,0.017241379310344827
MDM2,LR-SCAF00164,2,1,MDM2_SCAF_29,LR00298;LR00299,116,0.017241379310344827
MDM2,LR-SCAF00221,2,1,MDM2_SCAF_11,LR00272;LR00328,116,0.017241379310344827
MDM2,LR-SCAF00231,2,1,MDM2_SCAF_4,LR00264;LR00368,116,0.017241379310344827
MDM2,LR-SCAF00285,2,1,MDM2_SCAF_33,LR00305;LR00307,116,0.017241379310344827
MDM2,LR-SCAF00341,2,1,MDM2_SCAF_54,LR00342;LR00347,116,0.017241379310344827
MDM2,LR-SCAF00349,2,1,MDM2_SCAF_7,LR00267;LR00268,116,0.017241379310344827
MDM2,LR-SCAF00004,1,1,MDM2_SCAF_56,LR00344,116,0.008620689655172414
MDM2,LR-SCAF00009,1,1,MDM2_SCAF_23,LR00292,116,0.008620689655172414
MDM2,LR-SCAF00018,1,1,MDM2_SCAF_57,LR00345,116,0.008620689655172414
MDM2,LR-SCAF00019,1,1,MDM2_SCAF_20,LR00286,116,0.008620689655172414
MDM2,LR-SCAF00021,1,1,MDM2_SCAF_42,LR00317,116,0.008620689655172414
MDM2,LR-SCAF00024,1,1,MDM2_SCAF_27,LR00296,116,0.008620689655172414
MDM2,LR-SCAF00048,1,1,MDM2_SCAF_45,LR00323,116,0.008620689655172414
MDM2,LR-SCAF00058,1,1,MDM2_SCAF_2bf86e3e,LR00373,116,0.008620689655172414
MDM2,LR-SCAF00062,1,1,MDM2_SCAF_67,LR00364,116,0.008620689655172414
MDM2,LR-SCAF00072,1,1,MDM2_SCAF_50,LR00329,116,0.008620689655172414
MDM2,LR-SCAF00076,1,1,MDM2_SCAF_35,LR00309,116,0.008620689655172414
MDM2,LR-SCAF00078,1,1,MDM2_SCAF_70,LR00372,116,0.008620689655172414
MDM2,LR-SCAF00086,1,1,MDM2_SCAF_8,LR00269,116,0.008620689655172414
MDM2,LR-SCAF00087,1,1,MDM2_SCAF_41,LR00316,116,0.008620689655172414
